date,value,key
9/1/13,183,#post2015
9/2/13,429,#post2015
9/3/13,441,#post2015
9/4/13,557,#post2015
9/5/13,338,#post2015
9/6/13,282,#post2015
9/7/13,154,#post2015
9/8/13,98,#post2015
9/9/13,718,#post2015
9/10/13,837,#post2015
9/11/13,965,#post2015
9/12/13,856,#post2015
9/13/13,579,#post2015
9/14/13,325,#post2015
9/15/13,282,#post2015
9/16/13,664,#post2015
9/17/13,736,#post2015
9/18/13,1055,#post2015
9/19/13,1106,#post2015
9/20/13,1246,#post2015
9/21/13,569,#post2015
9/22/13,1378,#post2015
9/23/13,2766,#post2015
9/24/13,2937,#post2015
9/25/13,4922,#post2015
9/26/13,2251,#post2015
9/27/13,1172,#post2015
9/28/13,349,#post2015
9/29/13,193,#post2015
9/30/13,780,#post2015
9/1/13,8,#futurewewant
9/2/13,10,#futurewewant
9/3/13,17,#futurewewant
9/4/13,8,#futurewewant
9/5/13,2,#futurewewant
9/6/13,4,#futurewewant
9/7/13,2,#futurewewant
9/8/13,5,#futurewewant
9/9/13,33,#futurewewant
9/10/13,25,#futurewewant
9/11/13,17,#futurewewant
9/12/13,24,#futurewewant
9/13/13,11,#futurewewant
9/14/13,6,#futurewewant
9/15/13,7,#futurewewant
9/16/13,350,#futurewewant
9/17/13,46,#futurewewant
9/18/13,35,#futurewewant
9/19/13,29,#futurewewant
9/20/13,17,#futurewewant
9/21/13,18,#futurewewant
9/22/13,14,#futurewewant
9/23/13,59,#futurewewant
9/24/13,153,#futurewewant
9/25/13,271,#futurewewant
9/26/13,126,#futurewewant
9/27/13,42,#futurewewant
9/28/13,45,#futurewewant
9/29/13,31,#futurewewant
9/30/13,89,#futurewewant
9/1/13,10,#mdgmomentum
9/2/13,11,#mdgmomentum
9/3/13,12,#mdgmomentum
9/4/13,15,#mdgmomentum
9/5/13,25,#mdgmomentum
9/6/13,20,#mdgmomentum
9/7/13,9,#mdgmomentum
9/8/13,4,#mdgmomentum
9/9/13,35,#mdgmomentum
9/10/13,51,#mdgmomentum
9/11/13,57,#mdgmomentum
9/12/13,34,#mdgmomentum
9/13/13,129,#mdgmomentum
9/14/13,25,#mdgmomentum
9/15/13,18,#mdgmomentum
9/16/13,18,#mdgmomentum
9/17/13,53,#mdgmomentum
9/18/13,53,#mdgmomentum
9/19/13,128,#mdgmomentum
9/20/13,126,#mdgmomentum
9/21/13,31,#mdgmomentum
9/22/13,28,#mdgmomentum
9/23/13,360,#mdgmomentum
9/24/13,94,#mdgmomentum
9/25/13,944,#mdgmomentum
9/26/13,252,#mdgmomentum
9/27/13,63,#mdgmomentum
9/28/13,55,#mdgmomentum
9/29/13,23,#mdgmomentum
9/30/13,65,#mdgmomentum
9/1/13,175,#mdgs
9/2/13,245,#mdgs
9/3/13,645,#mdgs
9/4/13,625,#mdgs
9/5/13,712,#mdgs
9/6/13,371,#mdgs
9/7/13,267,#mdgs
9/8/13,297,#mdgs
9/9/13,502,#mdgs
9/10/13,1040,#mdgs
9/11/13,532,#mdgs
9/12/13,364,#mdgs
9/13/13,1103,#mdgs
9/14/13,414,#mdgs
9/15/13,228,#mdgs
9/16/13,389,#mdgs
9/17/13,466,#mdgs
9/18/13,1162,#mdgs
9/19/13,1891,#mdgs
9/20/13,1048,#mdgs
9/21/13,372,#mdgs
9/22/13,595,#mdgs
9/23/13,1683,#mdgs
9/24/13,2541,#mdgs
9/25/13,4934,#mdgs
9/26/13,2416,#mdgs
9/27/13,1647,#mdgs
9/28/13,491,#mdgs
9/29/13,308,#mdgs
9/30/13,469,#mdgs
9/1/13,0,#MDGSuccess
9/2/13,4,#MDGSuccess
9/3/13,0,#MDGSuccess
9/4/13,4,#MDGSuccess
9/5/13,0,#MDGSuccess
9/6/13,1,#MDGSuccess
9/7/13,1,#MDGSuccess
9/8/13,0,#MDGSuccess
9/9/13,1,#MDGSuccess
9/10/13,3,#MDGSuccess
9/11/13,4,#MDGSuccess
9/12/13,7,#MDGSuccess
9/13/13,0,#MDGSuccess
9/14/13,2,#MDGSuccess
9/15/13,0,#MDGSuccess
9/16/13,5,#MDGSuccess
9/17/13,7,#MDGSuccess
9/18/13,8,#MDGSuccess
9/19/13,14,#MDGSuccess
9/20/13,68,#MDGSuccess
9/21/13,26,#MDGSuccess
9/22/13,118,#MDGSuccess
9/23/13,2237,#MDGSuccess
9/24/13,1018,#MDGSuccess
9/25/13,250,#MDGSuccess
9/26/13,210,#MDGSuccess
9/27/13,117,#MDGSuccess
9/28/13,95,#MDGSuccess
9/29/13,21,#MDGSuccess
9/30/13,43,#MDGSuccess
9/1/13,11,#unga
9/2/13,24,#unga
9/3/13,36,#unga
9/4/13,31,#unga
9/5/13,207,#unga
9/6/13,94,#unga
9/7/13,33,#unga
9/8/13,13,#unga
9/9/13,83,#unga
9/10/13,164,#unga
9/11/13,259,#unga
9/12/13,190,#unga
9/13/13,136,#unga
9/14/13,68,#unga
9/15/13,250,#unga
9/16/13,262,#unga
9/17/13,1282,#unga
9/18/13,907,#unga
9/19/13,1342,#unga
9/20/13,1435,#unga
9/21/13,869,#unga
9/22/13,1778,#unga
9/23/13,9561,#unga
9/24/13,49480,#unga
9/25/13,16639,#unga
9/26/13,11880,#unga
9/27/13,9527,#unga
9/28/13,3830,#unga
9/29/13,2141,#unga
9/30/13,2055,#unga